CategoryID,Segment name,Display,Gmail,Discovery,Search,Shopping,Video
80023,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Ford,YES,YES,YES,YES,NO,YES
80024,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/GMC,YES,YES,YES,YES,NO,YES
80025,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,YES,YES,YES,YES,NO,YES
80026,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Hyundai,YES,YES,YES,YES,NO,YES
80080,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Infiniti,YES,YES,YES,YES,NO,YES
80081,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Isuzu,YES,YES,YES,YES,NO,YES
80057,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Jaguar,YES,YES,YES,YES,NO,YES
80027,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Jeep,YES,YES,YES,YES,NO,YES
80028,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Kia,YES,YES,YES,YES,NO,YES
80059,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Land Rover,YES,YES,YES,YES,NO,YES
80029,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Lexus,YES,YES,YES,YES,NO,YES
80030,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Lincoln,YES,YES,YES,YES,NO,YES
80060,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Maserati,YES,YES,YES,YES,NO,YES
80031,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mazda,YES,YES,YES,YES,NO,YES
80032,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mercedes-Benz,YES,YES,YES,YES,NO,YES
80061,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mini,YES,YES,YES,YES,NO,YES
80034,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mitsubishi,YES,YES,YES,YES,NO,YES
80035,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Nissan,YES,YES,YES,YES,NO,YES
80036,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Peugeot,YES,YES,YES,YES,NO,YES
80038,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Porsche,YES,YES,YES,YES,NO,YES
80693,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Ram Trucks,YES,YES,YES,YES,NO,YES
80039,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Renault,YES,YES,YES,YES,NO,YES
80094,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/SEAT,YES,YES,YES,YES,NO,YES
80063,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Scion,YES,YES,YES,YES,NO,YES
80041,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Subaru,YES,YES,YES,YES,NO,YES
80064,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Suzuki,YES,YES,YES,YES,NO,YES
80694,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,YES,YES,YES,YES,NO,YES
80042,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Toyota,YES,YES,YES,YES,NO,YES
80047,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Vauxhall-Opel,YES,YES,YES,YES,NO,YES
80043,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volkswagen,YES,YES,YES,YES,NO,YES
80044,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volvo,YES,YES,YES,YES,NO,YES
80171,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type,YES,YES,YES,YES,NO,YES
80049,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Classic Vehicles,YES,YES,YES,YES,NO,YES
80111,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Compact Cars,YES,YES,YES,YES,NO,YES
80172,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Compact Cars/Compact Cars (New),YES,YES,YES,YES,NO,YES
80112,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Compact Cars/Compact Cars (Used),YES,YES,YES,YES,NO,YES
80102,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Convertibles,YES,YES,YES,YES,NO,YES
80173,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Convertibles/Convertibles (New),YES,YES,YES,YES,NO,YES
80113,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Convertibles/Convertibles (Used),YES,YES,YES,YES,NO,YES
80103,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Coupes,YES,YES,YES,YES,NO,YES
80174,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Coupes/Coupes (New),YES,YES,YES,YES,NO,YES
80170,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Coupes/Coupes (Used),YES,YES,YES,YES,NO,YES
80110,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Crossovers,YES,YES,YES,YES,NO,YES
80175,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Crossovers/Crossovers (New),YES,YES,YES,YES,NO,YES
80114,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Crossovers/Crossovers (Used),YES,YES,YES,YES,NO,YES
80104,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Diesel Vehicles,YES,YES,YES,YES,NO,YES
80176,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Diesel Vehicles/Diesel Vehicles (New),YES,YES,YES,YES,NO,YES
80115,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Diesel Vehicles/Diesel Vehicles (Used),YES,YES,YES,YES,NO,YES
80105,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hatchbacks,YES,YES,YES,YES,NO,YES
80177,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hatchbacks/Hatchbacks (New),YES,YES,YES,YES,NO,YES
80116,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hatchbacks/Hatchbacks (Used),YES,YES,YES,YES,NO,YES
